請問您的性別是?,請問您最主要使用的手機品牌為何?(單選),當提到“音樂串流App”，請問您聯想到的品牌有哪些?第一個聯想到的品牌,第二個聯想到的品牌,第三個聯想到的品牌,"請問以下哪些音樂串流App是您知道或聽過的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都沒聽過","請問您認為哪個App的logo設計有記憶點? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App的廣告吸引人? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App是親友會推薦的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App的網路口碑好? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App的曲庫多/經常推出新歌曲? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App的會員制度好? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App的使用者介面親切易懂? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App的歌曲風格/類別多? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App容易在社群網站上做分享? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App包含多國語言歌曲? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App歌曲風格/類別多? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App的風格是獨特的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App是潮流的/流行的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App是創新的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App是貼心的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App是貼近生活的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App是有質感的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App是國際的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App是專業的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合",不論您是否曾聽過/使用過以下的品牌，請依您對這些品牌的整體喜好程度做一個排名，請將所有品牌排名排完。 - 總排序,"請問您在選擇要使用哪個“音樂串流App”時，考量的因素包含哪些? - 歌曲數目多, 介面使用方便, 具定時停止播放功能, 有自己關注的歌手、DJ, 推薦歌單符合需求, 可以更換介面主題, 價格合理, 經常有特價/促銷活動, 親朋好友推薦, 網路口碑好, 有音樂人、專家使用, 是我熟悉、習慣使用的品牌","包括目前有使用的音樂串流App，請問您曾經使用過哪些品牌的音樂串流App? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不曾使用過","請問您最近一年使用過的哪些品牌的音樂串流App? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不曾使用過","請問您為什麼會最常使用這個品牌的音樂串流App? - 歌曲數目多, 介面使用方便, 具定時停止播放功能, 有自己關注的歌手、DJ, 推薦歌單符合需求, 可以更換介面主題, 價格合理, 經常有特價/促銷活動, 親朋好友推薦, 網路口碑好, 有音樂人，專家使用, 是我熟悉、習慣使用的品牌","請問您平時從哪裡得知音樂串流App的相關資訊? - 電視廣告/節目介紹, 雜誌廣告/報導介紹, 戶外廣告(街頭電視牆/大型看板/掛旗等), 電子郵件/手機簡訊等廣告, 網路廣告, 音樂網站, 音樂串流App Facebook粉絲團, 音樂串流App Instagram官方帳號, 網路口碑推薦(網路報導/部落格/PTT等), 音樂串流App的官方網站, 手機App廣告, 親朋好友推薦, 名人/明星和歌手/網路名人/Youtuber推薦","請問在您挑選與決定使用音樂串流App時，您最重視的訊息來源管道是? - 電視廣告/節目介紹, 雜誌廣告/報導介紹, 戶外廣告(街頭電視牆/大型看板/掛旗等), 電子郵件/手機簡訊等廣告, 網路廣告, 音樂網站, 音樂串流App Facebook粉絲團, 音樂串流App Instagram官方帳號, 網路口碑推薦(網路報導/部落格/PTT等), 音樂串流App的官方網站, 手機App廣告, 親朋好友推薦, 名人/明星和歌手/網路名人/Youtuber推薦",請問您目前的工作狀況是? ,請問您的個人月收入? (包含薪水、房租、退休金、投資收入、利息),請問您是使用這個品牌的哪個付費方案?,請問哪一個音樂串流App是您最常使用的？ (請勾選題目中有顯示的品牌。如果您最近一年只使用一個品牌，請勾選該品牌)
男,HTC,Spotify,KKBOX,無,1100000,11000000,10000000,1000000,11000000,10000000,1000000,1000000,10000000,11000000,11000000,1000000,10000000,10000000,10000000,1000000,11000000,11000000,1000000,1000000,Spotify		KKBOX		Apple Music		Mixer Box		My Music		QQ音樂Street Voice 街聲		,110000100000,100000,100000,10000101000,101010000,1000000,學生 - 兼職打工/實習,"$5,000以下",家庭方案,Spotify
男,Samsung,KKBOX,無,無,1110000,11000000,11000000,11100000,11000000,11100000,11100000,10000000,10000000,11000000,11100000,10000000,11000000,10000000,11000000,10000000,10000000,11100000,1100000,1000000,KKBOX		Spotify		Apple Music		My Music		QQ音樂Street Voice 街聲		Mixer Box		,10010100001,1100000,1000000,10100101,1100000110001,10000,學生 - 兼職打工/實習,"$10,001-$20,000",單筆繳費(半年),KKBOX
女,SONY,Spotify,Apple Music,KKBOX,1110111,11101000,1100000,1100000,1100000,1101000,1100000,1100000,1100000,1100000,1100000,1101000,11100000,1101000,1101000,1100000,1100000,1100000,1100000,1100000,Spotify		Apple Music		KKBOX		Street Voice 街聲		Mixer Box		My Music		QQ音樂,100010100001,110000,110000,100010101101,10001011,1000,全職員工 (每週工作時數為30小時或以上),"$30,001-$40,000",家庭方案,Spotify
男,iPhone,KKBOX,Spotify,Apple Music,1110110,10000000,1,1,1,1,1000000,10000000,1000000,1,1,1000,1000000,1000000,1000,10000000,11000000,1000000,1000000,1,KKBOX		Spotify		Apple Music		Mixer Box		Street Voice 街聲		My Music		QQ音樂,110100110001,1110010,1010010,100000,100011000,10000,學生 - 兼職打工/實習,"$10,001-$20,000",學生方案,Apple Music
女,iPhone,Spotify,Apple Music,KKBOX,1110110,11100100,11100000,11000000,11000100,11101000,11000000,1000000,1000000,1000000,1100000,1101000,11100000,1000000,1000000,1000000,11100100,1100000,1100000,11100000,Spotify		KKBOX		Apple Music		Mixer Box		Street Voice 街聲		QQ音樂My Music		,10110100000,1110000,100000,110110000001,100000000,100000000,全職員工 (每週工作時數為30小時或以上),"$5,001-$10,000",家庭方案,Spotify
女,iPhone,Spotify,KKBOX ,無,1110100,11101000,10100000,10000000,1100000,1000000,11000000,11000000,11100000,11110000,11100000,1000000,11101000,1101000,1000,11100000,11100000,11101000,1100000,1100000,Spotify		KKBOX		Apple Music		Street Voice 街聲		Mixer Box		My Music		QQ音樂,10010101101,1110000,1110000,10101101,100010010,10000,學生 - 未兼職,"$5,000以下",家庭方案,Spotify
男,iPhone,Spotify,Apple Music,KKBOX,1110100,1000000,1000000,1000000,1000000,1000000,1100000,1000000,1100000,1101000,1100000,1100000,1000000,1000000,1001000,1,1001000,1000000,1100000,1100000,Spotify		Apple Music		Street Voice 街聲		KKBOX		QQ音樂My Music		Mixer Box		,111000100011,1110100,100000,11000100001,10000111,10,學生 - 兼職打工/實習,"$10,001-$20,000",家庭方案,Spotify
男,iPhone,Spotify,KKBOX,Apple Music,1110010,11100000,1100000,10000000,1100000,11100000,11100000,100000,1000000,1100000,11100000,1,100000,1,1000000,1000000,10000000,100000,1100000,11100000,Apple Music		KKBOX		Spotify		Mixer Box		My Music		Street Voice 街聲		QQ音樂,110000100101,1110000,1010000,110000100111,110000110011,10000,學生 - 兼職打工/實習,"$10,001-$20,000",學生方案,Apple Music
男,iPhone,Spotify,KKBOX,Apple Music,1110110,11000000,1,1000000,11000000,1000000,1000000,1000000,1000000,1000,1000000,1000,1000000,1000000,1000,1000000,1000000,1000000,1000000,1000000,Spotify		KKBOX		Apple Music		Street Voice 街聲		Mixer Box		My Music		QQ音樂,100000101101,111100,100100,110100101101,100000010,10,學生 - 兼職打工/實習,"$30,001-$40,000",家庭方案,Spotify
女,iPhone,Spotify ,Apple Music,無,1110010,11100000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,11100000,11100000,1000000,1000000,1000000,Spotify		Apple Music		KKBOX		Mixer Box		My Music		Street Voice 街聲		QQ音樂,100100100000,1110000,100000,110000000,1,1,學生 - 未兼職,"$5,000以下",家庭方案,Spotify
女,iPhone,KKBOX ,Spotify ,無,1110000,11000000,1000000,11000000,1000000,11000000,11000000,11000000,1000000,1000000,1000000,1000000,1000000,1000000,100,11000000,10000000,1100000,1100000,1100000,KKBOX		Spotify		Apple Music		Mixer Box		Street Voice 街聲		My Music		QQ音樂,110000101101,1000000,1000000,1000,100010010,10,學生 - 兼職打工/實習,"$20,001-$30,000",單筆繳費(一年),KKBOX
女,Samsung,KKBOX,Spotify,Apple Music,1110010,10000000,11000000,10000000,1000000,11000000,11000000,10000000,1000000,1000000,11000000,1,10000000,1,1,11100000,11110000,1000000,11100000,11100000,KKBOX		Spotify		Apple Music		My Music		Mixer Box		Street Voice 街聲		QQ音樂,111110111101,1100000,1000000,111101001101,10011000101,1000000,學生 - 兼職打工/實習,"$5,001-$10,000",個人方案,KKBOX
